GPSorRSSI, CurrentTime,GPSTime,latitude,longitude,altitude,course,speed,RcvdMsgTimeStamp,RcvdMsgGPSTime,RcvdMsgLat,RcvdMsgLon,RcvdMsgAlt,RcvdMsgType,RcvdMsgID,RcvdMsgRSSi
1, 1290716510.299,1488232519.4,53.45745733,-113.58908950,674.9,116.160,6.255,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716510.399,1488232519.4,53.45745733,-113.58908950,674.9,116.160,6.255,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716510.499,1488232519.6,53.45745250,-113.58907300,674.9,116.060,6.156,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716510.599,1488232519.6,53.45745250,-113.58907300,674.9,116.060,6.156,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716510.699,1488232519.8,53.45744767,-113.58905667,674.9,116.180,6.043,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716510.799,1488232519.8,53.45744767,-113.58905667,674.9,116.180,6.043,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716510.899,1488232520.0,53.45744283,-113.58904083,674.9,116.250,5.924,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716510.999,1488232520.0,53.45744283,-113.58904083,674.9,116.250,5.924,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716511.099,1488232520.2,53.45743817,-113.58902550,675.0,116.500,5.763,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716511.199,1488232520.2,53.45743817,-113.58902550,675.0,116.500,5.763,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716511.299,1488232520.4,53.45743383,-113.58901067,675.0,116.340,5.562,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716511.399,1488232520.4,53.45743383,-113.58901067,675.0,116.340,5.562,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1290716511.499,1488232520.6,53.45742950,-113.58899650,675.0,116.250,5.302,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
