GPSorRSSI, CurrentTime,GPSTime,latitude,longitude,altitude,course,speed,RcvdMsgTimeStamp,RcvdMsgGPSTime,RcvdMsgLat,RcvdMsgLon,RcvdMsgAlt,RcvdMsgType,RcvdMsgID,RcvdMsgRSSi
1, 1488231219.400,1488231216.2,53.52883683,-113.52968750,667.4,0.000,0.002,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231219.501,1488231216.4,53.52883683,-113.52968733,667.4,0.000,0.007,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231219.601,1488231216.6,53.52883683,-113.52968733,667.4,0.000,0.002,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231219.701,1488231216.6,53.52883683,-113.52968733,667.4,0.000,0.002,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231219.801,1488231216.6,53.52883683,-113.52968733,667.4,0.000,0.002,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231219.901,1488231216.8,53.52883700,-113.52968717,667.4,0.000,0.003,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.000,1488231216.8,53.52883700,-113.52968717,667.4,0.000,0.003,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.101,1488231217.0,53.52883700,-113.52968717,667.4,0.000,0.012,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.201,1488231217.0,53.52883700,-113.52968717,667.4,0.000,0.012,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.301,1488231217.2,53.52883700,-113.52968700,667.4,0.000,0.006,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.400,1488231217.2,53.52883700,-113.52968700,667.4,0.000,0.006,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.501,1488231217.4,53.52883717,-113.52968683,667.4,0.000,0.006,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.600,1488231217.4,53.52883717,-113.52968683,667.4,0.000,0.006,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.701,1488231217.6,53.52883717,-113.52968683,667.4,0.000,0.011,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.800,1488231217.6,53.52883717,-113.52968683,667.4,0.000,0.011,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231220.901,1488231217.8,53.52883733,-113.52968667,667.5,0.000,0.005,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.000,1488231217.8,53.52883733,-113.52968667,667.5,0.000,0.005,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.101,1488231218.0,53.52883733,-113.52968667,667.5,0.000,0.007,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.200,1488231218.0,53.52883733,-113.52968667,667.5,0.000,0.007,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.301,1488231218.2,53.52883733,-113.52968667,667.5,0.000,0.004,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.402,1488231218.4,53.52883733,-113.52968650,667.5,0.000,0.006,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.500,1488231218.4,53.52883733,-113.52968650,667.5,0.000,0.006,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.602,1488231218.6,53.52883717,-113.52968650,667.5,0.000,0.007,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.701,1488231218.6,53.52883717,-113.52968650,667.5,0.000,0.007,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.800,1488231218.6,53.52883717,-113.52968650,667.5,0.000,0.007,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231221.901,1488231218.8,53.52883717,-113.52968650,667.5,0.000,0.006,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.002,1488231219.0,53.52883717,-113.52968650,667.5,0.000,0.008,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.101,1488231219.0,53.52883717,-113.52968650,667.5,0.000,0.008,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.201,1488231219.0,53.52883717,-113.52968650,667.5,0.000,0.008,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.301,1488231219.2,53.52883700,-113.52968650,667.5,0.000,0.009,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.401,1488231219.2,53.52883700,-113.52968650,667.5,0.000,0.009,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.501,1488231219.4,53.52883683,-113.52968667,667.4,0.000,0.008,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.601,1488231219.4,53.52883683,-113.52968667,667.4,0.000,0.008,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.700,1488231219.6,53.52883667,-113.52968667,667.4,0.000,0.007,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.800,1488231219.6,53.52883667,-113.52968667,667.4,0.000,0.007,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231222.901,1488231219.8,53.52883667,-113.52968683,667.4,0.000,0.004,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231223.001,1488231219.8,53.52883667,-113.52968683,667.4,0.000,0.004,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231223.100,1488231220.0,53.52883650,-113.52968683,667.4,0.000,0.003,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231223.200,1488231220.0,53.52883650,-113.52968683,667.4,0.000,0.003,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231223.300,1488231220.2,53.52883633,-113.52968683,667.4,0.000,0.009,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231223.401,1488231220.2,53.52883633,-113.52968683,667.4,0.000,0.009,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231223.500,1488231220.4,53.52883633,-113.52968683,667.4,0.000,0.002,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
1, 1488231223.600,1488231220.4,53.52883633,-113.52968683,667.4,0.000,0.002,-1.000,-1.0,-1.00000000,-1.00000000,0.0,0,-1,-1
